Chr	cStart	cEnd	NumTags	Fold	p-value
mouseY	2137491	2138011	116	1.11	3.0e-02
mouseY	2139011	2142371	86	1.29	2.9e-02
mouseY	2145311	2152051	171	1.02	3.0e-02
mouseY	2158451	2160211	39	2.15	7.8e-03
mouseY	2162671	2165371	120	1.23	2.9e-02
mouseY	2179951	2180311	26	1.16	3.0e-02
mouseY	2185931	2187071	288	1.17	2.9e-02
mouseY	2187831	2189611	99	1.05	3.0e-02
mouseY	2194191	2204131	305	1.22	2.9e-02
mouseY	2213851	2213911	31	2.25	7.7e-03
mouseY	2220131	2227231	173	1.10	3.0e-02
mouseY	2252631	2253371	31	1.17	2.9e-02
mouseY	2379791	2387111	237	1.65	2.5e-02
mouseY	2389451	2390771	78	1.55	2.5e-02
mouseY	2391931	2392071	43	1.98	2.4e-02
mouseY	2396611	2405211	101	1.12	3.0e-02
mouseY	2867311	2867811	62	1.20	2.9e-02
mouseY	2872411	2873391	94	1.11	3.0e-02
mouseY	3225251	3231431	86	1.11	3.0e-02
mouseY	3234331	3234751	50	1.12	3.0e-02
mouseY	3258951	3259711	26	1.09	3.0e-02
mouseY	3268071	3268311	50	1.32	2.9e-02
mouseY	3270911	3272491	190	1.55	2.5e-02
mouseY	3281811	3281851	28	1.20	2.9e-02
mouseY	3283811	3290051	265	1.14	3.0e-02
mouseY	3300351	3300571	61	1.06	3.0e-02
mouseY	3305431	3311231	951	1.88	2.4e-02
mouseY	3315171	3323591	177	1.63	2.5e-02
mouseY	3342011	3343491	89	1.22	2.9e-02
mouseY	3347391	3362871	182	1.13	3.0e-02
mouseY	3365811	3372471	102	1.06	3.0e-02
mouseY	3373451	3375571	58	1.19	2.9e-02
mouseY	3386891	3387791	28	1.52	2.5e-02
mouseY	3390791	3407691	116	1.48	2.7e-02
mouseY	3410471	3424811	222	1.45	2.7e-02
mouseY	3427131	3441471	252	1.80	2.4e-02
mouseY	3443511	3457571	149	2.41	7.5e-03
mouseY	3540291	3540331	26	1.94	2.4e-02
mouseY	3551631	3551671	23	1.04	3.0e-02
mouseY	3655251	3655851	42	1.24	2.9e-02
mouseY	3666391	3667111	30	1.09	3.0e-02
mouseY	3669671	3669711	25	1.01	3.0e-02
mouseY	3672011	3679691	205	1.22	2.9e-02
mouseY	3687091	3687311	81	1.12	3.0e-02
mouseY	3716371	3718011	84	1.31	2.9e-02
mouseY	3724791	3725131	30	1.65	2.5e-02
mouseY	3751731	3751931	55	1.21	2.9e-02
mouseY	3777131	3782051	246	1.75	2.4e-02
mouseY	3803071	3804451	69	1.75	2.4e-02
mouseY	3952071	3953031	29	1.90	2.4e-02
mouseY	3984231	3985011	49	1.05	3.0e-02
mouseY	4044311	4045911	34	1.41	2.7e-02
mouseY	4086311	4086751	29	9.20	5.0e-04
mouseY	4214951	4215071	32	1.07	3.0e-02
mouseY	4266931	4267271	31	1.15	3.0e-02
mouseY	4298531	4298571	33	2.20	7.7e-03
mouseY	4301611	4301651	33	1.29	2.9e-02
mouseY	4380251	4380611	43	1.27	2.9e-02
mouseY	4405411	4409831	97	1.10	3.0e-02
mouseY	4503991	4507631	85	1.07	3.0e-02
mouseY	4579631	4579671	20	1.49	2.7e-02
mouseY	4661811	4664531	87	1.51	2.5e-02
mouseY	4735711	4736531	53	1.11	3.0e-02
mouseY	5512831	5513871	38	1.27	2.9e-02
mouseY	5679311	5680491	36	17.13	1.6e-04
mouseY	5718191	5718671	64	1.22	2.9e-02
mouseY	5799131	5799171	23	1.10	3.0e-02
mouseY	5986851	5991071	108	1.11	3.0e-02
mouseY	6075891	6076131	65	1.00	3.0e-02
mouseY	6101231	6102611	90	1.07	3.0e-02
mouseY	6105911	6109631	224	1.31	2.9e-02
mouseY	6112211	6119871	317	1.20	2.9e-02
mouseY	6140871	6143111	69	1.46	2.7e-02
mouseY	6148891	6151391	51	1.04	3.0e-02
mouseY	6329271	6329311	20	1.34	2.8e-02
mouseY	6343611	6343651	23	1.19	2.9e-02
mouseY	6373771	6373811	20	1.64	2.5e-02
mouseY	6377371	6383011	115	1.13	3.0e-02
mouseY	7391671	7392731	58	1.38	2.8e-02
mouseY	7394011	7394691	56	1.01	3.0e-02
mouseY	7429211	7430411	89	1.49	2.7e-02
mouseY	7491671	7493071	66	1.17	2.9e-02
mouseY	7730411	7730711	37	1.20	2.9e-02
mouseY	8202391	8202431	28	1.82	2.4e-02
mouseY	8682291	8682551	33	1.03	3.0e-02
mouseY	8721351	8722631	44	1.11	3.0e-02
mouseY	8740591	8741471	50	1.04	3.0e-02
mouseY	9003931	9003971	21	2.96	7.0e-03
mouseY	9035811	9035871	23	2.25	7.7e-03
mouseY	9103791	9108011	55	1.13	3.0e-02
mouseY	9178011	9182351	52	1.01	3.0e-02
mouseY	9224991	9225711	68	1.08	3.0e-02
mouseY	9242251	9242591	47	1.02	3.0e-02
mouseY	9798871	9799791	51	11.28	3.5e-04
mouseY	9921811	9921851	28	1.39	2.8e-02
mouseY	9981951	9982351	24	1.24	2.9e-02
mouseY	12015231	12015311	25	3.97	2.9e-03
mouseY	15792211	15792411	75	38.08	2.6e-05
mouseY	15871791	15874631	103	1.10	3.0e-02
mouseY	15890371	15890631	29	1.29	2.9e-02
mouseY	15899151	15899571	82	1.37	2.8e-02
mouseY	16692771	16692811	24	3.58	2.9e-03
mouseY	19511391	19511431	30	1.04	3.0e-02
mouseY	19708111	19708151	56	1.30	2.9e-02
mouseY	19741231	19741291	22	2.15	7.8e-03
mouseY	19784291	19785031	49	1.12	3.0e-02
mouseY	19871251	19871291	31	3.28	3.1e-03
mouseY	20173411	20174191	32	1.18	2.9e-02
mouseY	20498151	20500091	65	1.18	2.9e-02
mouseY	21069131	21069491	57	1.18	2.9e-02
mouseY	21231231	21231271	27	22.85	1.0e-04
mouseY	21839271	21840071	141	1.02	3.0e-02
mouseY	27777071	27777111	46	1.02	3.0e-02
mouseY	28528011	28528431	41	1.06	3.0e-02
mouseY	31120811	31120851	22	1.07	3.0e-02
mouseY	31800911	31800951	22	1.43	2.7e-02
mouseY	32788611	32788651	24	2.90	7.0e-03
mouseY	33106091	33106131	33	1.10	3.0e-02
mouseY	36819891	36819931	26	1.18	2.9e-02
mouseY	37592311	37593231	504	1.29	2.9e-02
mouseY	38000931	38003171	41	1.06	3.0e-02
mouseY	38092671	38092711	20	1.24	2.9e-02
mouseY	38240671	38240711	20	2.12	7.8e-03
mouseY	38244651	38245451	44	1.16	3.0e-02
mouseY	38976811	38977231	29	1.20	2.9e-02
mouseY	38993251	38993791	37	1.25	2.9e-02
mouseY	38999871	39003691	126	1.42	2.7e-02
mouseY	39055251	39059071	44	1.45	2.7e-02
mouseY	39079191	39080071	49	1.14	3.0e-02
mouseY	39122191	39124811	68	1.45	2.7e-02
mouseY	39300911	39300951	34	1.02	3.0e-02
mouseY	39477591	39477631	21	1.09	3.0e-02
mouseY	40268431	40268891	64	10.83	3.9e-04
mouseY	40564511	40564571	44	1.16	3.0e-02
mouseY	40725231	40725391	67	1.11	3.0e-02
mouseY	40768691	40768731	24	1.11	3.0e-02
mouseY	40956351	40956391	42	1.72	2.4e-02
mouseY	40984831	40985271	68	1.80	2.4e-02
mouseY	41176151	41176191	35	1.02	3.0e-02
mouseY	41481171	41485751	168	1.12	3.0e-02
mouseY	42011891	42015931	183	1.46	2.7e-02
mouseY	42237051	42239211	494	1.39	2.8e-02
mouseY	42458591	42458911	36	1.32	2.9e-02
mouseY	42459991	42461371	34	1.12	3.0e-02
mouseY	42576491	42576531	23	1.30	2.9e-02
mouseY	42685471	42688311	44	1.14	3.0e-02
mouseY	42743791	42744651	34	1.31	2.9e-02
mouseY	42891691	42895451	99	1.82	2.4e-02
mouseY	43072971	43073011	28	1.73	2.4e-02
mouseY	43134491	43134931	38	1.01	3.0e-02
mouseY	43214811	43214951	109	1.53	2.5e-02
mouseY	43498591	43500791	57	1.27	2.9e-02
mouseY	43618411	43618451	44	1.12	3.0e-02
mouseY	54538951	54538991	23	1.54	2.5e-02
mouseY	55685151	55686271	383	1.42	2.7e-02
mouseY	56419751	56419791	40	1.49	2.7e-02
mouseY	57544251	57551411	184	2.65	7.1e-03
mouseY	58361891	58361931	91	1.37	2.8e-02
mouseY	59003171	59003211	22	27.92	7.3e-05
mouseY	73419851	73419991	68	1.17	3.0e-02
mouseY	73694971	73695011	20	2.03	7.8e-03
mouseY	80184811	80184851	24	2.03	7.8e-03
mouseY	80662711	80662751	28	1.17	3.0e-02
mouseY	81132891	81132931	31	1.08	3.0e-02
mouseY	82032731	82032811	23	1.12	3.0e-02
mouseY	82152291	82152791	36	1.14	3.0e-02
mouseY	82327071	82327111	20	1.21	2.9e-02
mouseY	83108551	83109491	32	1.43	2.7e-02
mouseY	83401391	83403351	44	1.03	3.0e-02
mouseY	83757551	83758291	35	1.00	3.0e-02
mouseY	83779731	83781111	175	1.29	2.9e-02
mouseY	83783271	83783311	30	1.00	3.0e-02
mouseY	83838471	83839631	37	1.09	3.0e-02
mouseY	85595871	85595911	46	1.74	2.4e-02
mouseY	85615791	85615831	31	1.08	3.0e-02
mouseY	86568211	86570471	58	1.04	3.0e-02
mouseY	86586931	86586971	31	1.09	3.0e-02
mouseY	87127231	87127271	31	1.31	2.9e-02
mouseY	87149551	87149591	26	1.14	3.0e-02
mouseY	87152911	87153471	51	1.03	3.0e-02
mouseY	87397811	87398491	139	1.01	3.0e-02
mouseY	87553291	87553771	28	1.16	3.0e-02
mouseY	87818771	87819751	50	1.06	3.0e-02
mouseY	87956171	87961751	382	1.18	2.9e-02
mouseY	88265471	88265511	25	1.04	3.0e-02
mouseY	88659191	88659891	47	1.02	3.0e-02
mouseY	89396331	89396691	35	18.40	1.3e-04
mouseY	89404691	89408951	112	269.07	0.0e+00
mouseY	89411771	89422371	143	16.82	1.7e-04
mouseY	89426891	89432751	379	415.03	0.0e+00
mouseY	89434511	89434551	50	126.92	3.0e-06
mouseY	89448271	89453751	946	32.85	3.1e-05
mouseY	89455051	89455651	48	1.66	2.5e-02
mouseY	89463531	89463931	30	10.15	4.3e-04
mouseY	89471571	89474171	403	40.49	2.5e-05
mouseY	89475151	89475271	28	71.08	1.7e-05
mouseY	89478971	89496431	285	13.21	2.6e-04
mouseY	89497471	89498091	59	2.12	7.8e-03
mouseY	89500371	89500411	45	8.79	5.4e-04
mouseY	89513211	89514731	69	139.61	1.0e-06
mouseY	89516651	89517811	150	88.21	1.1e-05
mouseY	89519391	89519431	54	27.41	7.4e-05
